Date,Market Cap,% Change
2026-04-17,3027900000,1.80%
2026-04-16,2974500000,-2.49%
2026-04-15,3050400000,-1.28%
2026-04-14,3090000000,0.56%
2026-04-13,3072800000,1.02%
2026-04-10,3041700000,0.69%
2026-04-09,3021000000,-0.45%
2026-04-08,3034800000,0.74%
2026-04-07,3012400000,-1.69%
2026-04-06,3064200000,3.20%
2026-04-02,2969300000,1.35%
2026-04-01,2929700000,1.01%
2026-03-31,2900300000,2.37%
2026-03-30,2833100000,0.49%
2026-03-27,2819300000,-0.79%
2026-03-26,2841700000,-0.96%
2026-03-25,2869300000,0.42%
2026-03-24,2857200000,-0.18%
2026-03-23,2862400000,2.40%
2026-03-20,2795200000,-1.70%
2026-03-19,2843400000,0.06%
2026-03-18,2841700000,0.24%
2026-03-17,2834800000,-0.18%
2026-03-16,2840000000,2.68%
2026-03-13,2765800000,0.37%
2026-03-12,2755500000,-4.65%
2026-03-11,2890000000,-3.18%
2026-03-10,2984800000,-0.17%
2026-03-09,2990000000,0.23%
2026-03-06,2983100000,-1.98%
2026-03-05,3043500000,-0.73%
2026-03-04,3065900000,0.74%
2026-03-03,3043500000,-0.39%
2026-03-02,3055500000,-1.61%
2026-02-27,3105500000,2.21%
2026-02-26,3038300000,1.50%
2026-02-25,2993500000,-2.09%
2026-02-24,3057300000,1.90%
2026-02-23,3000400000,-0.68%
2026-02-20,3021000000,-1.02%
2026-02-19,3052100000,-1.83%
2026-02-18,3109000000,2.10%
2026-02-17,3045200000,1.26%
2026-02-13,3007200000,1.51%
2026-02-12,2962400000,-2.00%
2026-02-11,3022800000,-1.41%
2026-02-10,3065900000,1.43%
2026-02-09,3022800000,1.10%
2026-02-06,2990000000,2.06%
2026-02-05,2929700000,-3.46%
2026-02-04,3034800000,1.15%
2026-02-03,3000400000,-1.25%
2026-02-02,3038300000,-0.45%
2026-01-30,3052100000,-0.39%
2026-01-29,3064200000,-0.28%
2026-01-28,3072800000,0.91%
2026-01-27,3045200000,0.12%
2026-01-26,3041700000,2.74%
2026-01-23,2960700000,3.43%
2026-01-22,2862400000,
2026-01-21,2862400000,-1.89%
2026-01-20,2917600000,0.60%
2026-01-16,2900300000,-0.47%
2026-01-15,2914100000,1.87%
2026-01-14,2860700000,-0.30%
2026-01-13,2869300000,1.16%
2026-01-12,2836500000,-1.20%
2026-01-09,2871000000,1.59%
2026-01-08,2826200000,0.31%
2026-01-07,2817600000,2.32%
2026-01-06,2753800000,-0.18%
2026-01-05,2758900000,1.39%
2026-01-02,2721000000,-0.88%
2025-12-31,2745100000,-0.93%
2025-12-30,2771000000,0.81%
2025-12-29,2748600000,0.50%
2025-12-26,2734800000,-1.00%
2025-12-24,2762400000,0.50%
2025-12-23,2748600000,0.50%
2025-12-22,2734800000,
2025-12-19,2734800000,1.80%
2025-12-18,2686500000,1.96%
2025-12-17,2634800000,0.33%
2025-12-16,2626200000,0.20%
2025-12-15,2621000000,-1.30%
2025-12-12,2655500000,-2.41%
2025-12-11,2721000000,2.54%
2025-12-10,2653700000,-0.13%
2025-12-09,2657100000,-0.97%
2025-12-08,2683000000,-0.70%
2025-12-05,2702000000,-0.19%
2025-12-04,2707100000,-1.32%
2025-12-03,2743300000,2.45%
2025-12-02,2677800000,-1.65%
2025-12-01,2722700000,-0.69%
2025-11-28,2741600000,1.79%
2025-11-26,2693300000,0.84%
2025-11-25,2670900000,1.44%
2025-11-24,2633000000,-1.10%
2025-11-21,2662300000,0.72%
2025-11-20,2643300000,-1.03%
2025-11-19,2670900000,0.13%
2025-11-18,2667500000,0.98%
2025-11-17,2641600000,-2.24%
2025-11-14,2702000000,0.71%
2025-11-13,2683000000,-1.58%
2025-11-12,2726100000,-0.38%
2025-11-11,2736400000,-0.25%
2025-11-10,2743300000,1.53%
2025-11-07,2702000000,0.32%
2025-11-06,2693300000,-0.38%
2025-11-05,2703700000,-0.25%
2025-11-04,2710600000,-1.93%
2025-11-03,2764000000,-3.61%
2025-10-31,2867500000,-3.87%
2025-10-30,2983000000,
2025-10-29,2983000000,-3.24%
2025-10-28,3083000000,-1.97%
2025-10-27,3145100000,0.22%
2025-10-24,3138200000,-1.46%
2025-10-23,3184800000,0.44%
2025-10-22,3171000000,-0.92%
2025-10-21,3200300000,-0.91%
2025-10-20,3229600000,4.52%
2025-10-17,3089900000,-0.11%
2025-10-16,3093400000,-1.64%
2025-10-15,3145100000,7.86%
2025-10-14,2915800000,-1.28%
2025-10-13,2953700000,7.33%
2025-10-10,2752000000,1.53%
2025-10-09,2710600000,2.28%
2025-10-08,2650200000,1.05%
2025-10-07,2622600000,-1.49%
2025-10-06,2662300000,0.72%
2025-10-03,2643300000,-0.52%
2025-10-02,2657100000,1.05%
2025-10-01,2629500000,0.72%
2025-09-30,2610600000,-2.51%
2025-09-29,2677800000,0.78%
2025-09-26,2657100000,1.71%
2025-09-25,2612300000,-0.46%
2025-09-24,2624400000,0.80%
2025-09-23,2603700000,-0.46%
2025-09-22,2615700000,-0.33%
2025-09-19,2624400000,-0.65%
2025-09-18,2641600000,-0.35%
2025-09-17,2650800000,-6.28%
2025-09-16,2828300000,1.92%
2025-09-15,2774900000,-1.89%
2025-09-12,2828300000,1.42%
2025-09-11,2788700000,-1.64%
2025-09-10,2835200000,2.94%
2025-09-09,2754200000,1.91%
2025-09-08,2702500000,-1.32%
2025-09-05,2738700000,-1.12%
2025-09-04,2769700000,0.31%
2025-09-03,2761100000,-1.78%
2025-09-02,2811100000,-8.63%
2025-08-29,3076500000,2.35%
2025-08-28,3005800000,2.05%
2025-08-27,2945500000,-0.70%
2025-08-26,2966200000,-0.18%
2025-08-25,2971400000,-1.54%
2025-08-22,3017900000,1.86%
2025-08-21,2962700000,-1.15%
2025-08-20,2997200000,-1.02%
2025-08-19,3028200000,-0.06%
2025-08-18,3030000000,-1.24%
2025-08-15,3067900000,2.18%
2025-08-14,3002400000,-0.34%
2025-08-13,3012700000,-0.57%
2025-08-12,3030000000,-0.68%
2025-08-11,3050600000,1.14%
2025-08-08,3016200000,-2.78%
2025-08-07,3102400000,0.11%
2025-08-06,3098900000,-0.17%
2025-08-05,3104100000,1.46%
2025-08-04,3059300000,1.03%
2025-08-01,3028200000,-0.12%
2025-07-31,3031700000,
2025-07-30,3031700000,1.97%
2025-07-29,2973100000,-1.03%
2025-07-28,3004100000,-0.12%
2025-07-25,3007600000,-2.84%
2025-07-24,3095500000,-1.16%
2025-07-23,3131700000,0.89%
2025-07-22,3104100000,1.98%
2025-07-21,3043800000,-0.06%
2025-07-18,3045500000,-0.51%
2025-07-17,3061000000,0.62%
2025-07-16,3042000000,0.11%
2025-07-15,3038600000,-1.45%
2025-07-14,3083400000,1.76%
2025-07-11,3030000000,-0.73%
2025-07-10,3052400000,0.23%
2025-07-09,3045500000,3.82%
2025-07-08,2933400000,-1.74%
2025-07-07,2985200000,-1.03%
2025-07-03,3016200000,0.29%
2025-07-02,3007600000,2.71%
2025-07-01,2928300000,-4.60%
2025-06-30,3069600000,-1.98%
2025-06-27,3131700000,-0.27%
2025-06-26,3140300000,-1.03%
2025-06-25,3173000000,-4.32%
2025-06-24,3316100000,1.32%
2025-06-23,3273000000,9.33%
2025-06-20,2993800000,0.46%
2025-06-18,2980000000,-0.23%
2025-06-17,2986900000,-1.42%
2025-06-16,3030000000,1.91%
2025-06-13,2973100000,-0.11%
2025-06-12,2976500000,2.25%
2025-06-11,2911000000,-0.71%
2025-06-10,2931700000,
2025-06-09,2931700000,3.66%
2025-06-06,2828300000,20.65%
2025-06-05,2344200000,-1.08%
2025-06-04,2369700000,-1.62%
2025-06-03,2408700000,0.64%
2025-06-02,2393400000,-0.49%
2025-05-30,2405300000,2.01%
2025-05-29,2357800000,-0.29%
2025-05-28,2364600000,-1.13%
2025-05-27,2391700000,4.68%
2025-05-23,2284800000,1.28%
2025-05-22,2255900000,-8.60%
2025-05-21,2468100000,1.46%
2025-05-20,2432500000,0.49%
2025-05-19,2420600000,2.81%
2025-05-16,2354400000,-0.07%
2025-05-15,2356100000,-3.74%
2025-05-14,2447700000,
2025-05-13,2447700000,-1.30%
2025-05-12,2480000000,2.17%
2025-05-09,2427400000,-0.21%
2025-05-08,2432500000,-0.62%
2025-05-07,2447700000,2.12%
2025-05-06,2396800000,0.07%
2025-05-05,2395100000,0.28%
2025-05-02,2388300000,2.18%
2025-05-01,2337400000,0.22%
2025-04-30,2332300000,-0.87%
2025-04-29,2352700000,
2025-04-28,2352700000,-0.07%
2025-04-25,2354400000,-0.57%
2025-04-24,2368000000,-0.71%
2025-04-23,2384900000,-0.57%
2025-04-22,2398500000,2.69%
2025-04-21,2335700000,-1.01%
2025-04-17,2359500000,0.73%
2025-04-16,2342500000,-1.78%
2025-04-15,2384900000,1.30%
2025-04-14,2354400000,1.39%
2025-04-11,2322100000,1.48%
2025-04-10,2288200000,0.75%
2025-04-09,2271200000,9.58%
2025-04-08,2072600000,-2.24%
2025-04-07,2120100000,-1.73%
2025-04-04,2157500000,-2.30%
2025-04-03,2208400000,-1.22%
2025-04-02,2235600000,0.54%
2025-04-01,2223700000,0.08%
2025-03-31,2222000000,-2.53%
2025-03-28,2279700000,-2.04%
2025-03-27,2327200000,1.03%
2025-03-26,2303500000,-0.95%
2025-03-25,2325500000,-0.80%
2025-03-24,2344200000,0.36%
2025-03-21,2335700000,-0.72%
2025-03-20,2352700000,0.14%
2025-03-19,2349300000,2.75%
2025-03-18,2286500000,-1.10%
2025-03-17,2311900000,-0.73%
2025-03-14,2328900000,3.39%
2025-03-13,2252500000,-1.71%
2025-03-12,2291600000,-2.10%
2025-03-11,2340800000,1.77%
2025-03-10,2300100000,-2.66%
2025-03-07,2362900000,-0.50%
2025-03-06,2374700000,0.28%
