Date,Market Cap,% Change
2026-04-17,8087800000,1.55%
2026-04-16,7964100000,-1.17%
2026-04-15,8058400000,-1.45%
2026-04-14,8177300000,2.62%
2026-04-13,7968400000,
2026-04-10,7968600000,2.75%
2026-04-09,7755100000,-1.77%
2026-04-08,7895200000,2.27%
2026-04-07,7720000000,-1.13%
2026-04-06,7807900000,-0.04%
2026-04-02,7810700000,1.83%
2026-04-01,7670400000,-0.85%
2026-03-31,7735900000,2.77%
2026-03-30,7527200000,0.51%
2026-03-27,7489200000,-1.20%
2026-03-26,7580200000,-0.34%
2026-03-25,7605900000,0.60%
2026-03-24,7560200000,1.22%
2026-03-23,7469000000,0.98%
2026-03-20,7396700000,-1.83%
2026-03-19,7534200000,-0.41%
2026-03-18,7565200000,-1.33%
2026-03-17,7667500000,0.53%
2026-03-16,7626800000,1.50%
2026-03-13,7514000000,-0.04%
2026-03-12,7517100000,-1.32%
2026-03-11,7617700000,0.90%
2026-03-10,7549600000,-1.20%
2026-03-09,7641300000,1.32%
2026-03-06,7541900000,-1.64%
2026-03-05,7668000000,-0.93%
2026-03-04,7739700000,-0.11%
2026-03-03,7748400000,-2.02%
2026-03-02,7908200000,-0.93%
2026-02-27,7982800000,3.15%
2026-02-26,7739000000,1.84%
2026-02-25,7599200000,0.56%
2026-02-24,7557000000,-0.04%
2026-02-23,7559900000,-3.43%
2026-02-20,7828800000,-1.00%
2026-02-19,7907700000,-3.87%
2026-02-18,8225900000,16.33%
2026-02-17,7071100000,0.79%
2026-02-13,7015700000,4.77%
2026-02-12,6696100000,-0.87%
2026-02-11,6754800000,0.31%
2026-02-10,6733600000,0.18%
2026-02-09,6721800000,-0.01%
2026-02-06,6722300000,2.10%
2026-02-05,6583900000,-4.73%
2026-02-04,6911100000,1.14%
2026-02-03,6833400000,-0.11%
2026-02-02,6841100000,0.28%
2026-01-30,6822000000,-0.73%
2026-01-29,6872300000,-0.14%
2026-01-28,6882200000,0.78%
2026-01-27,6828800000,-0.39%
2026-01-26,6855700000,-0.76%
2026-01-23,6907900000,-0.07%
2026-01-22,6912700000,-0.58%
2026-01-21,6953200000,0.96%
2026-01-20,6887000000,-1.16%
2026-01-16,6967800000,2.14%
2026-01-15,6822000000,0.31%
2026-01-14,6800600000,2.04%
2026-01-13,6664900000,2.27%
2026-01-12,6517200000,2.08%
2026-01-09,6384200000,0.60%
2026-01-08,6345900000,3.12%
2026-01-07,6153700000,1.08%
2026-01-06,6088000000,-0.83%
2026-01-05,6138800000,-1.43%
2026-01-02,6228000000,0.08%
2025-12-31,6223000000,-0.42%
2025-12-30,6249200000,0.69%
2025-12-29,6206100000,-0.82%
2025-12-26,6257600000,0.37%
2025-12-24,6234300000,0.84%
2025-12-23,6182300000,1.79%
2025-12-22,6073600000,2.46%
2025-12-19,5927800000,3.43%
2025-12-18,5731400000,-1.32%
2025-12-17,5808200000,2.64%
2025-12-16,5659000000,-1.05%
2025-12-15,5719200000,0.11%
2025-12-12,5712700000,0.90%
2025-12-11,5661900000,4.98%
2025-12-10,5393400000,-0.77%
2025-12-09,5435000000,0.22%
2025-12-08,5423000000,-0.14%
2025-12-05,5430400000,0.72%
2025-12-04,5391700000,0.25%
2025-12-03,5378200000,0.77%
2025-12-02,5337300000,-1.91%
2025-12-01,5441500000,-0.82%
2025-11-28,5486300000,0.98%
2025-11-26,5433100000,0.47%
2025-11-25,5407600000,3.41%
2025-11-24,5229300000,0.50%
2025-11-21,5203300000,1.19%
2025-11-20,5142000000,-0.67%
2025-11-19,5176600000,0.25%
2025-11-18,5163600000,0.80%
2025-11-17,5122500000,-1.41%
2025-11-14,5195600000,-0.82%
2025-11-13,5238700000,-1.36%
2025-11-12,5311100000,0.65%
2025-11-11,5276700000,-0.85%
2025-11-10,5322200000,0.48%
2025-11-07,5296700000,2.08%
2025-11-06,5188700000,0.25%
2025-11-05,5175700000,-2.10%
2025-11-04,5286800000,1.30%
2025-11-03,5219200000,1.18%
2025-10-31,5158100000,-4.45%
2025-10-30,5398400000,0.07%
2025-10-29,5394600000,-1.11%
2025-10-28,5455100000,-0.02%
2025-10-27,5456300000,-0.38%
2025-10-24,5477200000,0.84%
2025-10-23,5431800000,0.29%
2025-10-22,5416200000,0.49%
2025-10-21,5389600000,0.94%
2025-10-20,5339600000,1.56%
2025-10-17,5257700000,0.26%
2025-10-16,5244000000,-2.12%
2025-10-15,5357600000,1.29%
2025-10-14,5289400000,0.67%
2025-10-13,5254100000,1.55%
2025-10-10,5173900000,-1.45%
2025-10-09,5249800000,-0.61%
2025-10-08,5282000000,0.19%
2025-10-07,5271900000,-5.37%
2025-10-06,5570900000,0.16%
2025-10-03,5561800000,-0.45%
2025-10-02,5587200000,1.24%
2025-10-01,5519000000,1.23%
2025-09-30,5452000000,-1.32%
2025-09-29,5524800000,2.90%
2025-09-26,5369100000,0.73%
2025-09-25,5330000000,2.15%
2025-09-24,5217800000,0.62%
2025-09-23,5185900000,0.21%
2025-09-22,5175100000,0.87%
2025-09-19,5130600000,-0.81%
2025-09-18,5172700000,-1.88%
2025-09-17,5271900000,2.26%
2025-09-16,5155600000,1.76%
2025-09-15,5066500000,-0.98%
2025-09-12,5116500000,0.61%
2025-09-11,5085700000,3.15%
2025-09-10,4930300000,-0.52%
2025-09-09,4956300000,1.66%
2025-09-08,4875300000,3.58%
2025-09-05,4707000000,-0.06%
2025-09-04,4709600000,0.10%
2025-09-03,4705100000,0.06%
2025-09-02,4702200000,-1.04%
2025-08-29,4751600000,0.66%
2025-08-28,4720400000,0.14%
2025-08-27,4713700000,-0.37%
2025-08-26,4731200000,-0.72%
2025-08-25,4765300000,-0.12%
2025-08-22,4771100000,1.02%
2025-08-21,4723100000,0.57%
2025-08-20,4696200000,-0.56%
2025-08-19,4722800000,-0.14%
2025-08-18,4729500000,-0.35%
2025-08-15,4746100000,2.57%
2025-08-14,4627000000,-0.96%
2025-08-13,4671900000,-0.45%
2025-08-12,4693000000,-3.50%
2025-08-11,4863100000,1.59%
2025-08-08,4787200000,-1.31%
2025-08-07,4850600000,-0.63%
2025-08-06,4881300000,0.44%
2025-08-05,4860000000,0.16%
2025-08-04,4852000000,1.24%
2025-08-01,4792700000,-1.26%
2025-07-31,4854000000,-0.80%
2025-07-30,4892900000,1.31%
2025-07-29,4829500000,-0.59%
2025-07-28,4858000000,0.03%
2025-07-25,4856400000,-0.54%
2025-07-24,4883000000,-0.82%
2025-07-23,4923600000,0.03%
2025-07-22,4922200000,0.16%
2025-07-21,4914500000,-1.82%
2025-07-18,5005500000,-0.96%
2025-07-17,5053800000,0.92%
2025-07-16,5007700000,2.10%
2025-07-15,4904900000,-1.87%
2025-07-14,4998300000,1.08%
2025-07-11,4944700000,1.04%
2025-07-10,4893800000,0.79%
2025-07-09,4855600000,-0.39%
2025-07-08,4874400000,-0.89%
2025-07-07,4918300000,-1.50%
2025-07-03,4993300000,-0.14%
2025-07-02,5000500000,1.56%
2025-07-01,4923600000,-1.89%
2025-06-30,5018500000,0.18%
2025-06-27,5009400000,0.90%
2025-06-26,4964900000,0.48%
2025-06-25,4941100000,-0.90%
2025-06-24,4986100000,0.15%
2025-06-23,4978600000,2.06%
2025-06-20,4878000000,6.27%
2025-06-18,4590000000,2.28%
2025-06-17,4487700000,-2.04%
2025-06-16,4581100000,1.80%
2025-06-13,4499900000,-1.13%
2025-06-12,4551100000,-0.91%
2025-06-11,4593100000,-0.54%
2025-06-10,4617900000,1.21%
2025-06-09,4562900000,-0.65%
2025-06-06,4592600000,0.77%
2025-06-05,4557300000,0.50%
2025-06-04,4534500000,-0.29%
2025-06-03,4547500000,-0.22%
2025-06-02,4557600000,-0.07%
2025-05-30,4560700000,0.14%
2025-05-29,4554500000,0.99%
2025-05-28,4510000000,-1.82%
2025-05-27,4593800000,0.29%
2025-05-23,4580600000,0.25%
2025-05-22,4569400000,-0.46%
2025-05-21,4590500000,-2.80%
2025-05-20,4722600000,-0.96%
2025-05-19,4768200000,0.56%
2025-05-16,4741600000,0.34%
2025-05-15,4725700000,0.34%
2025-05-14,4709600000,-0.34%
2025-05-13,4725700000,0.83%
2025-05-12,4686600000,1.74%
2025-05-09,4606600000,0.47%
2025-05-08,4585200000,0.32%
2025-05-07,4570800000,-0.17%
2025-05-06,4578500000,0.93%
2025-05-05,4536200000,0.81%
2025-05-02,4499900000,-2.82%
2025-05-01,4630300000,0.14%
2025-04-30,4623600000,-0.45%
2025-04-29,4644500000,-1.00%
2025-04-28,4691500000,1.69%
2025-04-25,4613700000,0.22%
2025-04-24,4603700000,1.15%
2025-04-23,4551500000,0.79%
2025-04-22,4516000000,1.45%
2025-04-21,4451400000,-3.26%
2025-04-17,4601500000,1.49%
2025-04-16,4533800000,-1.95%
2025-04-15,4623800000,1.17%
2025-04-14,4570300000,-0.04%
2025-04-11,4572000000,1.31%
2025-04-10,4512900000,-0.38%
2025-04-09,4529900000,7.44%
2025-04-08,4216399999,-1.78%
2025-04-07,4292700000,-1.20%
2025-04-04,4344800000,-6.41%
2025-04-03,4642300000,-2.95%
2025-04-02,4783500000,0.44%
2025-04-01,4762600000,1.87%
2025-03-31,4675200000,-0.13%
2025-03-28,4681200000,-1.88%
2025-03-27,4770800000,0.10%
2025-03-26,4766200000,0.32%
2025-03-25,4750800000,-0.71%
2025-03-24,4784900000,0.39%
2025-03-21,4766400000,0.39%
2025-03-20,4748000000,1.58%
2025-03-19,4674200000,1.92%
2025-03-18,4586100000,-0.54%
2025-03-17,4610900000,1.65%
2025-03-14,4535900000,1.71%
2025-03-13,4459800000,-1.43%
2025-03-12,4524700000,0.37%
2025-03-11,4507900000,-1.07%
2025-03-10,4556600000,-3.59%
2025-03-07,4726100000,-0.77%
2025-03-06,4762800000,-0.96%
2025-03-05,4808900000,0.78%
2025-03-04,4771500000,-1.36%
2025-03-03,4837500000,-1.09%
2025-02-28,4890600000,1.18%
2025-02-27,4833700000,-0.71%
2025-02-26,4868200000,0.38%
2025-02-25,4849800000,-0.33%
2025-02-24,4865800000,-0.22%
2025-02-21,4876600000,-1.15%
2025-02-20,4933100000,-0.99%
2025-02-19,4982500000,0.29%
2025-02-18,4967900000,-2.25%
2025-02-14,5082200000,0.32%
2025-02-13,5065800000,0.47%
2025-02-12,5042100000,0.96%
2025-02-11,4994300000,-0.11%
2025-02-10,4999800000,1.37%
2025-02-07,4932100000,-2.35%
2025-02-06,5051000000,0.74%
2025-02-05,5013700000,-0.75%
2025-02-04,5051700000,-3.52%
2025-02-03,5236200000,-0.75%
2025-01-31,5275600000,-0.33%
2025-01-30,5293100000,0.41%
2025-01-29,5271700000,0.07%
2025-01-28,5268100000,-0.90%
2025-01-27,5315900000,0.90%
2025-01-24,5268600000,0.51%
2025-01-23,5241700000,-0.01%
2025-01-22,5242200000,-0.58%
2025-01-21,5272700000,1.27%
2025-01-17,5206700000,0.84%
2025-01-16,5163500000,-0.11%
2025-01-15,5169000000,0.93%
2025-01-14,5121500000,-0.24%
2025-01-13,5133800000,0.87%
2025-01-10,5089600000,-1.70%
2025-01-08,5177400000,-0.03%
2025-01-07,5178900000,-1.52%
2025-01-06,5259000000,-1.86%
2025-01-03,5358600000,0.11%
2025-01-02,5352600000,-1.15%
2024-12-31,5415000000,-1.05%
2024-12-30,5472300000,3.15%
2024-12-27,5305100000,-0.28%
2024-12-26,5320000000,0.24%
2024-12-24,5307200000,0.40%
2024-12-23,5286100000,-2.24%
2024-12-20,5407100000,0.70%
