Year Ending,2020-12-31,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30,2025-12-31
Net Income,-59,-121,-128,-107,-92,-130,-159,-184,-170,-132,-91,-605,-574,-537,-484,117,216,349,530
Depreciation & Amortization,2,3,3,3,3,5,8,10,13,13,14,14,15,15,16,16,16,16,16
Stock-Based Compensation,21,37,49,52,50,43,80,43,38,47,48,613,667,732,802,310,334,343,343
Other Adjustments,10,10,10,12,15,14,11,5,-2,-8,-16,-20,-27,-39,-43,-45,-40,-29,-21
Change in Receivables,-43,3,-87,10,26,36,-17,11,-11,-36,-53,-57,-73,-92,-104,-111,-167,-204,-241
Changes in Accounts Payable,3,2,17,4,6,0,12,5,-3,-1,12,4,28,27,-1,1,2,10,18
Changes in Accrued Expenses,20,13,4,22,12,9,21,14,9,23,13,19,21,21,59,56,69,65,91
Changes in Other Operating Activities,-15,-9,-12,-24,-33,-24,-19,-7,0,-1,-2,-14,-21,-13,-22,-26,-30,-36,-44
Operating Cash Flow,-62,-83,-117,-79,-46,-80,-83,-84,-125,-93,-75,-47,35,115,222,318,401,514,691
Operating Cash Flow Growth,,,,,,,,,,,,,,,,,1034.22%,348.43%,211.11%
Capital Expenditures,-3,-2,-2,-3,-4,-6,-6,-5,-5,-6,-10,-12,-13,-10,-6,-4,-4,-4,-7
Purchases of Intangible Assets,,,-5,-2,-2,-2,,,,,,,,,,,,,
Purchases of Investments,-310,-281,-234,-814,-897,-1146,-1431,-1023,-1189,-1212,-1260,-1133,-1643,-1758,-1997,-2366,-2061,-2176,-2298
Proceeds from Sale of Investments,394,463,412,308,334,414,675,1011,1187,1266,1311,1211,1234,1361,1574,1798,2008,2124,2083
Payments for Business Acquisitions,,,,,-12,-29,-42,-30,-18,-1,,,,-17,-17,-17,-17,0,
Other Investing Activities,,,,,0,0,0,0,0,0,0,0,0,7,6,7,9,1,3
Investing Cash Flow,81,188,181,-504,-888,-1076,-1098,-354,-25,47,41,66,-421,-416,-441,-582,-65,-56,-219
Issuance of Common Stock,8,35,39,38,23,16,7,4,3,3,8,631,632,669,689,76,79,47,25
Repurchase of Common Stock,,-95,-95,-56,0,0,,-4,-4,-4,-4,-195,-202,-268,-295,-137,-144,-107,-104
Net Common Stock Issued (Repurchased),8,-60,-56,-18,23,16,7,0,-1,-1,4,436,429,401,394,-60,-66,-60,-79
Issuance of Preferred Stock,,1243,1243,780,725,0,,,,,,,,,,,,,
Net Preferred Stock Issued (Repurchased),,1243,1243,780,725,0,,,,,,,,,,,,,
Other Financing Activities,,0,-4,-7,-12,-14,-10,-8,-3,-2,-5,-12,-15,-18,-15,-8,-4,-2,-2
Financing Cash Flow,8,1389,1389,962,739,4,-1,-6,-5,-3,-1,424,414,383,380,-68,-70,-62,-81
Net Cash Flow,28,1264,1223,148,77,-871,-902,-164,-149,-50,-35,443,28,82,161,-333,266,396,391
Free Cash Flow,-65,-85,-119,-82,-49,-86,-89,-89,-130,-100,-85,-59,23,105,216,313,397,510,684
Free Cash Flow Growth,,,,,,,,,,,,,,,,,1646.54%,387.13%,217.01%
FCF Margin,-28.35%,-21.11%,-24.63%,-14.91%,-8.34%,-13.31%,-13.39%,-13.03%,-18.13%,-13.23%,-10.55%,-6.72%,2.32%,9.32%,16.60%,21.61%,23.79%,26.76%,31.06%
Free Cash Flow Per Share,,,,,,,-1.55876,,,,-1.43475,-0.954663,0.256367,0.857639,1.37903,1.6549,2.00384,2.5402,3.39345
Levered Free Cash Flow,-53,-113,-118,-105,-107,-145,-143,-167,-155,-103,-64,-595,-544,-497,-438,159,270,399,604
Unlevered Free Cash Flow,-56,-114,-118,-104,-107,-149,-157,-192,-193,-150,-119,-652,-608,-572,-513,76,187,317,517
